State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Kerala,Kottayam,Ettumanoor,Ashgourd,Other,FAQ,29/07/2025,2200,2600,2400
Kerala,Kottayam,Ettumanoor,Banana,"Banana - Ripe",Medium,29/07/2025,4300,4600,4400
Kerala,Kottayam,Ettumanoor,Beetroot,Other,FAQ,29/07/2025,3200,3600,3400
Kerala,Kottayam,Ettumanoor,"Bhindi(Ladies Finger)",Other,FAQ,29/07/2025,4600,5000,4800
Kerala,Kottayam,Ettumanoor,Coconut,Medium,FAQ,29/07/2025,7600,8000,7800
Kerala,Kottayam,Ettumanoor,"Mango (Raw-Ripe)","Mango - Raw-Ripe",FAQ,29/07/2025,5500,6500,6000
Kerala,Kottayam,Ettumanoor,Onion,Big,FAQ,29/07/2025,2400,2800,2600
Kerala,Kottayam,Pampady,Banana,Medium,Medium,29/07/2025,6000,7500,7000
Kerala,Kottayam,Pampady,Banana,Palayamthodan,Medium,29/07/2025,3000,4500,4000
Kerala,Kottayam,Pampady,Coconut,Coconut,FAQ,29/07/2025,7600,8600,8000
Kerala,Kottayam,Pampady,Cowpea(Veg),Other,FAQ,29/07/2025,6000,7500,7000
Kerala,Kottayam,Pampady,Cucumbar(Kheera),Other,FAQ,29/07/2025,4000,5500,5000
Kerala,Kottayam,Pampady,Ginger(Green),"Green Ginger",FAQ,29/07/2025,12000,15000,14000
Kerala,Kottayam,Pampady,"Indian Beans (Seam)",Other,FAQ,29/07/2025,4500,6000,5000
Kerala,Kottayam,Pampady,Pumpkin,Pumpkin,FAQ,29/07/2025,2200,3500,3000
Kerala,Kottayam,Pampady,Tomato,Other,FAQ,29/07/2025,5500,7000,6500
Kerala,Kozhikode(Calicut),Mukkom,Amaranthus,Amaranthus,FAQ,29/07/2025,3500,3900,3700
Kerala,Kozhikode(Calicut),Mukkom,Amphophalus,Amphophalus,FAQ,29/07/2025,5600,6000,5800
Kerala,Kozhikode(Calicut),Mukkom,"Bhindi(Ladies Finger)",Bhindi,FAQ,29/07/2025,4500,5000,4700
Kerala,Kozhikode(Calicut),Mukkom,"Coconut Seed",Other,FAQ,29/07/2025,7600,8000,7800
Kerala,Kozhikode(Calicut),Mukkom,Drumstick,Drumstick,FAQ,29/07/2025,5800,6200,6000
Kerala,Kozhikode(Calicut),Mukkom,Potato,Other,FAQ,29/07/2025,3000,3400,3200
Kerala,Kozhikode(Calicut),Mukkom,Pumpkin,Pumpkin,FAQ,29/07/2025,1800,2200,2000
Kerala,Kozhikode(Calicut),Palayam,Amaranthus,Other,FAQ,29/07/2025,2200,2500,2200
Kerala,Kozhikode(Calicut),Palayam,"Banana - Green",Other,FAQ,29/07/2025,3600,3600,3600
Kerala,Kozhikode(Calicut),Palayam,Brinjal,Other,FAQ,29/07/2025,1800,1800,1800
Kerala,Kozhikode(Calicut),Palayam,Cabbage,Other,FAQ,29/07/2025,1500,1500,1500
Kerala,Kozhikode(Calicut),Palayam,"Cluster beans",Other,FAQ,29/07/2025,4600,4600,4600
Kerala,Kozhikode(Calicut),Palayam,Cucumbar(Kheera),Other,FAQ,29/07/2025,2400,2400,2400
Kerala,Kozhikode(Calicut),Palayam,Drumstick,Other,FAQ,29/07/2025,2000,2200,2000
Kerala,Kozhikode(Calicut),Palayam,Ginger(Green),Other,FAQ,29/07/2025,5000,5000,5000
Kerala,Malappuram,Manjeri,"Banana - Green","Banana - Green",FAQ,29/07/2025,3300,3400,3350
Kerala,Malappuram,Manjeri,Beetroot,Other,FAQ,29/07/2025,2550,2650,2600
Kerala,Malappuram,Manjeri,"Bitter gourd",Other,FAQ,29/07/2025,4900,5000,4950
Kerala,Malappuram,Manjeri,Brinjal,Other,FAQ,29/07/2025,2600,2700,2650
Kerala,Malappuram,Manjeri,Chikoos(Sapota),Other,Large,29/07/2025,3900,4000,3950
Kerala,Malappuram,Manjeri,Ginger(Green),Other,FAQ,29/07/2025,4900,5000,4950
Kerala,Malappuram,Manjeri,"Green Chilli",Other,FAQ,29/07/2025,7450,7550,7500
Kerala,Malappuram,Manjeri,Pineapple,Other,Large,29/07/2025,5300,5400,5350
Kerala,Pathanamthitta,Ranniangadi,Tapioca,Tapioca,FAQ,29/07/2025,3300,3500,3400
Kerala,Thirssur,Thrissur,Amaranthus,Amaranthus,FAQ,29/07/2025,1900,1900,1900
Kerala,Thirssur,Thrissur,Banana,Robusta,Medium,29/07/2025,3500,3500,3500
Kerala,Thirssur,Thrissur,Cabbage,Cabbage,FAQ,29/07/2025,3000,3000,3000
Kerala,Thirssur,Thrissur,Cauliflower,Cauliflower,FAQ,29/07/2025,4000,4000,4000
Kerala,Thirssur,Thrissur,"Cluster beans","Cluster Beans",FAQ,29/07/2025,5000,5000,5000
Kerala,Thirssur,Thrissur,"Little gourd (Kundru)",Other,FAQ,29/07/2025,6000,6000,6000
Kerala,Thirssur,Thrissur,Pumpkin,Pumpkin,FAQ,29/07/2025,1500,1500,1500
Kerala,Thiruvananthapuram,Neyyatinkara,Beetroot,Beetroot,FAQ,29/07/2025,5400,6000,5600
Kerala,Thiruvananthapuram,Neyyatinkara,"Bhindi(Ladies Finger)",Bhindi,FAQ,29/07/2025,5400,6000,5700
Kerala,Thiruvananthapuram,Neyyatinkara,Brinjal,Brinjal,FAQ,29/07/2025,3400,4000,3700
Kerala,Thiruvananthapuram,Neyyatinkara,Cabbage,Other,FAQ,29/07/2025,3500,4000,3700
Kerala,Thiruvananthapuram,Neyyatinkara,"Cluster beans",Other,FAQ,29/07/2025,5000,12000,7000
Kerala,Thiruvananthapuram,Neyyatinkara,"Duster Beans",Other,FAQ,29/07/2025,5400,6000,5700
"Madhya Pradesh",Sheopur,Vijaypur,Mustard,Mustard,FAQ,29/07/2025,7050,7050,7050
"Madhya Pradesh",Ujjain,Badnagar,Onion,Onion,FAQ,29/07/2025,700,700,700
Nagaland,Kohima,Kohima,Beans,"Beans (Whole)",FAQ,29/07/2025,8000,8200,8100
Punjab,Amritsar,Rayya,Brinjal,Brinjal,FAQ,29/07/2025,2200,2200,2200
Punjab,Amritsar,Rayya,Cauliflower,Local,FAQ,29/07/2025,1400,1400,1400
Punjab,Bhatinda,"Bhagta Bhai Ka",Pumpkin,Other,FAQ,29/07/2025,4000,4000,4000
Punjab,Bhatinda,"Bhagta Bhai Ka",Tomato,Other,FAQ,29/07/2025,3900,3900,3900
Punjab,Mohali,Lalru,Cucumbar(Kheera),Other,FAQ,29/07/2025,900,1000,1000
Punjab,Mohali,Lalru,"Green Chilli",Other,FAQ,29/07/2025,3500,4500,4000
Rajasthan,Ganganagar,"Sriganganagar (F&V)",Cabbage,Other,FAQ,29/07/2025,1400,1800,1600
Rajasthan,Ganganagar,"Sriganganagar (F&V)",Garlic,Garlic,FAQ,29/07/2025,5800,6200,6000
Rajasthan,Ganganagar,"Sriganganagar (F&V)",Guava,Guava,Medium,29/07/2025,6000,6400,6200
Rajasthan,Ganganagar,Suratgarh,Onion,"1st Sort",FAQ,29/07/2025,1000,1100,1050
Rajasthan,Ganganagar,Suratgarh,Potato,"(Red Nanital)",FAQ,29/07/2025,800,1200,1100
Rajasthan,Ganganagar,Suratgarh,Tomato,Deshi,FAQ,29/07/2025,1500,1600,1550
"Tamil Nadu",Ariyalur,"Ariyalur(Uzhavar Sandhai)",Brinjal,Round,Local,29/07/2025,2500,3600,3600
"Tamil Nadu",Ariyalur,"Ariyalur(Uzhavar Sandhai)",Ginger(Green),"Green Ginger",Local,29/07/2025,6200,6800,6800
"Tamil Nadu",Ariyalur,"Ariyalur(Uzhavar Sandhai)","Green Chilli","Green Chilly",Local,29/07/2025,6200,6800,6800
"Tamil Nadu",Ariyalur,"Ariyalur(Uzhavar Sandhai)",Lemon,Lemon,Local,29/07/2025,5500,6000,6000
"Tamil Nadu",Ariyalur,"Ariyalur(Uzhavar Sandhai)","Mango (Raw-Ripe)","Mango - Raw-Ripe",Local,29/07/2025,1200,1600,1600
"Tamil Nadu",Ariyalur,"Ariyalur(Uzhavar Sandhai)",Raddish,Raddish,Local,29/07/2025,1500,2400,2400
"Tamil Nadu",Ariyalur,"Jeyankondam (Uzhavar Sandhai )",Beans,"Beans (Whole)",Local,29/07/2025,7000,7500,7500
"Tamil Nadu",Ariyalur,"Jeyankondam (Uzhavar Sandhai )",Cabbage,Cabbage,Local,29/07/2025,2500,3000,3000
"Tamil Nadu",Ariyalur,"Jeyankondam (Uzhavar Sandhai )",Tomato,Deshi,Local,29/07/2025,4000,4500,4500
"Tamil Nadu",Chengalpattu,"Medavakkam(Uzhavar Sandhai )",Brinjal,Round,Local,29/07/2025,3000,4000,4000
"Tamil Nadu",Chengalpattu,"Medavakkam(Uzhavar Sandhai )",Onion,Bellary,Local,29/07/2025,2500,3500,3500
"Tamil Nadu",Chengalpattu,"Pallavaram(Uzhavar Sandhai )","Bhindi(Ladies Finger)",Bhindi,Local,29/07/2025,5500,6000,6000
"Tamil Nadu",Chengalpattu,"Pallavaram(Uzhavar Sandhai )",Brinjal,Round,Local,29/07/2025,3500,4000,4000
"Tamil Nadu",Chengalpattu,"Pallavaram(Uzhavar Sandhai )","Onion Green","Onion Green",Local,29/07/2025,4500,5000,5000
"Tamil Nadu",Chengalpattu,"Pallavaram(Uzhavar Sandhai )",Pumpkin,Pumpkin,Local,29/07/2025,1500,2000,2000
"Tamil Nadu",Coimbatore,"Mettupalayam(Uzhavar Sandhai )","Amla(Nelli Kai)",Amla,Local,29/07/2025,7000,7500,7500
"Tamil Nadu",Coimbatore,"Mettupalayam(Uzhavar Sandhai )","Cluster beans","Cluster Beans",Local,29/07/2025,4200,4800,4800
"Tamil Nadu",Coimbatore,"Mettupalayam(Uzhavar Sandhai )",Cucumbar(Kheera),Cucumbar,Local,29/07/2025,4200,4800,4800
"Tamil Nadu",Coimbatore,"Mettupalayam(Uzhavar Sandhai )",Garlic,Average,Local,29/07/2025,12000,13000,13000
"Tamil Nadu",Coimbatore,"Mettupalayam(Uzhavar Sandhai )",Onion,Bellary,Local,29/07/2025,2200,2600,2600
"Tamil Nadu",Coimbatore,"Mettupalayam(Uzhavar Sandhai )",Pomegranate,Pomogranate,Local,29/07/2025,19000,20000,20000
"Tamil Nadu",Coimbatore,"Mettupalayam(Uzhavar Sandhai )",Pumpkin,Pumpkin,Local,29/07/2025,1600,2000,2000
"Tamil Nadu",Coimbatore,"Mettupalayam(Uzhavar Sandhai )",Thondekai,Thondekai,Local,29/07/2025,4000,4500,4500
"Tamil Nadu",Coimbatore,"Mettupalayam(Uzhavar Sandhai )",Tomato,Deshi,Local,29/07/2025,3600,4000,4000
"Tamil Nadu",Coimbatore,"Pollachi(Uzhavar Sandhai )",Ashgourd,Gouard,Local,29/07/2025,1800,2200,2200
"Tamil Nadu",Coimbatore,"Pollachi(Uzhavar Sandhai )","Bhindi(Ladies Finger)",Bhindi,Local,29/07/2025,3500,4500,4500
"Tamil Nadu",Coimbatore,"Pollachi(Uzhavar Sandhai )","Bitter gourd","Bitter Gourd",Local,29/07/2025,4000,4500,4500
"Tamil Nadu",Coimbatore,"Pollachi(Uzhavar Sandhai )","Elephant Yam (Suran)","Elephant Yam (Suran)",Local,29/07/2025,5500,6000,6000
"Tamil Nadu",Coimbatore,"Pollachi(Uzhavar Sandhai )",Ginger(Green),"Green Ginger",Local,29/07/2025,5000,6000,6000
"Tamil Nadu",Coimbatore,"Pollachi(Uzhavar Sandhai )",Lemon,Lemon,Local,29/07/2025,6000,8000,8000
"Tamil Nadu",Coimbatore,"Pollachi(Uzhavar Sandhai )","Onion Green","Onion Green",Local,29/07/2025,4000,5000,5000
"Tamil Nadu",Coimbatore,"Pollachi(Uzhavar Sandhai )",Papaya,Papaya,Local,29/07/2025,3000,3500,3500
"Tamil Nadu",Coimbatore,"RSPuram(Uzhavar Sandhai )","Bottle gourd","Bottle Gourd",Local,29/07/2025,2800,3400,3400
"Tamil Nadu",Coimbatore,"RSPuram(Uzhavar Sandhai )",Cabbage,Cabbage,Local,29/07/2025,2000,2400,2400
"Tamil Nadu",Coimbatore,"RSPuram(Uzhavar Sandhai )",Capsicum,Capsicum,Local,29/07/2025,6000,7800,7800
"Tamil Nadu",Coimbatore,"RSPuram(Uzhavar Sandhai )","Chow Chow","Chow Chow",Local,29/07/2025,2800,3200,3200
"Tamil Nadu",Coimbatore,"RSPuram(Uzhavar Sandhai )",Cucumbar(Kheera),Cucumbar,Local,29/07/2025,3500,4000,4000
"Tamil Nadu",Coimbatore,"RSPuram(Uzhavar Sandhai )","Custard Apple (Sharifa)","Custard Apple(Sharifa)",Local,29/07/2025,4500,5000,5000
"Tamil Nadu",Coimbatore,"RSPuram(Uzhavar Sandhai )",Guava,"Guava Alahabad",Local,29/07/2025,5000,6000,6000
"Tamil Nadu",Coimbatore,"RSPuram(Uzhavar Sandhai )",Lime,Lime,Local,29/07/2025,4000,4500,4500
"Tamil Nadu",Coimbatore,"RSPuram(Uzhavar Sandhai )",Mint(Pudina),Mint(Pudina),Local,29/07/2025,2500,3000,3000
"Tamil Nadu",Coimbatore,"RSPuram(Uzhavar Sandhai )",Onion,Bellary,Local,29/07/2025,2000,2400,2400
"Tamil Nadu",Coimbatore,"RSPuram(Uzhavar Sandhai )",Snakeguard,Snakeguard,Local,29/07/2025,3200,4000,4000
"Tamil Nadu",Coimbatore,"RSPuram(Uzhavar Sandhai )","Water Melon","Water Melon",Local,29/07/2025,1500,2000,2000
"Tamil Nadu",Coimbatore,"Singanallur(Uzhavar Sandhai )",Carrot,Pusakesar,Local,29/07/2025,6000,6400,6400
"Tamil Nadu",Coimbatore,"Singanallur(Uzhavar Sandhai )","Chow Chow","Chow Chow",Local,29/07/2025,3000,3500,3500
"Tamil Nadu",Coimbatore,"Singanallur(Uzhavar Sandhai )","Elephant Yam (Suran)","Elephant Yam (Suran)",Local,29/07/2025,5000,5500,5500
"Tamil Nadu",Coimbatore,"Singanallur(Uzhavar Sandhai )",Guava,"Guava Alahabad",Local,29/07/2025,5500,6000,6000
"Tamil Nadu",Coimbatore,"Singanallur(Uzhavar Sandhai )","Mousambi(Sweet Lime)",Mousambi,Local,29/07/2025,5500,6000,6000
"Tamil Nadu",Coimbatore,"Singanallur(Uzhavar Sandhai )",Ridgeguard(Tori),Ridgeguard(Tori),Local,29/07/2025,4500,5000,5000
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai )",Banana,Besrai,Local,29/07/2025,5000,7000,7000
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai )","Bottle gourd","Bottle Gourd",Local,29/07/2025,3000,3400,3400
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai )",Cabbage,Cabbage,Local,29/07/2025,2200,2600,2600
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai )",Capsicum,Capsicum,Local,29/07/2025,8000,8600,8600
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai )",Cauliflower,Ranchi,Local,29/07/2025,3000,4000,4000
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai )",Ginger(Green),"Green Ginger",Local,29/07/2025,5000,6000,6000
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai )",Papaya,Papaya,Local,29/07/2025,3000,3400,3400
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai )",Pumpkin,Pumpkin,Local,29/07/2025,1600,2200,2200
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai )",Raddish,Raddish,Local,29/07/2025,2000,3000,3000
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai )",Tapioca,Tapioca,Local,29/07/2025,3000,3400,3400
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai )",Thondekai,Thondekai,Local,29/07/2025,3400,4000,4000
"Tamil Nadu",Coimbatore,Udumalpet,"Amla(Nelli Kai)",Amla,Local,29/07/2025,6000,7000,7000
"Tamil Nadu",Coimbatore,Udumalpet,Carrot,Pusakesar,Local,29/07/2025,7000,7500,7500
"Tamil Nadu",Coimbatore,Udumalpet,"Elephant Yam (Suran)","Elephant Yam (Suran)",Local,29/07/2025,6000,7000,7000
"Tamil Nadu",Coimbatore,Udumalpet,"Green Chilli","Green Chilly",Local,29/07/2025,7000,8000,8000
"Tamil Nadu",Coimbatore,Udumalpet,"Onion Green","Onion Green",Local,29/07/2025,4000,5000,5000
"Tamil Nadu",Coimbatore,Udumalpet,Pumpkin,Pumpkin,Local,29/07/2025,1500,2000,2000
"Tamil Nadu",Cuddalore,"Cuddalore(Uzhavar Sandhai )",Amaranthus,Amaranthus,Local,29/07/2025,1500,2000,2000
"Tamil Nadu",Cuddalore,"Cuddalore(Uzhavar Sandhai )",Brinjal,Round,Local,29/07/2025,4500,5000,5000
"Tamil Nadu",Cuddalore,"Cuddalore(Uzhavar Sandhai )",Carrot,Pusakesar,Local,29/07/2025,6000,6000,6000
"Tamil Nadu",Cuddalore,"Cuddalore(Uzhavar Sandhai )","Cluster beans","Cluster Beans",Local,29/07/2025,5000,5000,5000
"Tamil Nadu",Cuddalore,"Cuddalore(Uzhavar Sandhai )","Green Chilli","Green Chilly",Local,29/07/2025,7000,7000,7000
"Tamil Nadu",Cuddalore,"Cuddalore(Uzhavar Sandhai )","Jack Fruit","Jack Fruit",Local,29/07/2025,5000,6000,6000
"Tamil Nadu",Cuddalore,"Cuddalore(Uzhavar Sandhai )",Lemon,Lemon,Local,29/07/2025,5000,6000,6000
"Tamil Nadu",Cuddalore,"Cuddalore(Uzhavar Sandhai )",Onion,Bellary,Local,29/07/2025,2800,3500,3500
"Tamil Nadu",Cuddalore,"Cuddalore(Uzhavar Sandhai )",Tomato,Deshi,Local,29/07/2025,4000,4000,4000
"Tamil Nadu",Dharmapuri,"AJattihalli(Uzhavar Sandhai )",Cauliflower,Ranchi,Local,29/07/2025,3500,4000,4000
"Tamil Nadu",Dharmapuri,"AJattihalli(Uzhavar Sandhai )","Elephant Yam (Suran)","Elephant Yam (Suran)",Local,29/07/2025,6000,6800,6800
"Tamil Nadu",Dharmapuri,"AJattihalli(Uzhavar Sandhai )",Garlic,Average,Local,29/07/2025,13000,13400,13400
"Tamil Nadu",Dharmapuri,"AJattihalli(Uzhavar Sandhai )",Onion,Bellary,Local,29/07/2025,2500,3000,3000
"Tamil Nadu",Dharmapuri,"Dharmapuri(Uzhavar Sandhai )",Beans,"Beans (Whole)",Local,29/07/2025,8400,8800,8800
"Tamil Nadu",Dharmapuri,"Dharmapuri(Uzhavar Sandhai )",Coconut,Coconut,Local,29/07/2025,8400,8600,8600
"Tamil Nadu",Dharmapuri,"Dharmapuri(Uzhavar Sandhai )",Cucumbar(Kheera),Cucumbar,Local,29/07/2025,4400,4600,4600
"Tamil Nadu",Dharmapuri,"Dharmapuri(Uzhavar Sandhai )",Guava,"Guava Alahabad",Local,29/07/2025,4800,5000,5000
"Tamil Nadu",Dharmapuri,"Dharmapuri(Uzhavar Sandhai )","Mango (Raw-Ripe)","Mango - Raw-Ripe",Local,29/07/2025,2400,2600,2600
"Tamil Nadu",Dharmapuri,"Dharmapuri(Uzhavar Sandhai )",Thondekai,Thondekai,Local,29/07/2025,4500,4800,4800
"Tamil Nadu",Dharmapuri,"Dharmapuri(Uzhavar Sandhai )",Tomato,Deshi,Local,29/07/2025,3500,3800,3800
"Tamil Nadu",Dharmapuri,"Harur(Uzhavar Sandhai )",Drumstick,Drumstick,Local,29/07/2025,4300,4500,4500
"Tamil Nadu",Dharmapuri,"Harur(Uzhavar Sandhai )",Ridgeguard(Tori),Ridgeguard(Tori),Local,29/07/2025,4400,4600,4600
"Tamil Nadu",Dharmapuri,"Palacode(Uzhavar Sandhai )",Beetroot,Beetroot,Local,29/07/2025,2700,3000,3000
"Tamil Nadu",Dharmapuri,"Palacode(Uzhavar Sandhai )","Bottle gourd","Bottle Gourd",Local,29/07/2025,1800,2000,2000
"Tamil Nadu",Dharmapuri,"Palacode(Uzhavar Sandhai )","Cluster beans","Cluster Beans",Local,29/07/2025,3600,4000,4000
"Tamil Nadu",Dharmapuri,"Palacode(Uzhavar Sandhai )",Coconut,Coconut,Local,29/07/2025,7500,8000,8000
"Tamil Nadu",Dharmapuri,"Palacode(Uzhavar Sandhai )",Coriander(Leaves),"I Sort",Local,29/07/2025,3600,4000,4000
"Tamil Nadu",Dharmapuri,"Palacode(Uzhavar Sandhai )","Elephant Yam (Suran)","Elephant Yam (Suran)",Local,29/07/2025,5500,6000,6000
"Tamil Nadu",Dharmapuri,"Palacode(Uzhavar Sandhai )",Lemon,Lemon,Local,29/07/2025,7500,8000,8000
"Tamil Nadu",Dharmapuri,"Palacode(Uzhavar Sandhai )",Mint(Pudina),Mint(Pudina),Local,29/07/2025,4500,5000,5000
"Tamil Nadu",Dharmapuri,"Pennagaram(Uzhavar Sandhai )",Beans,"Beans (Whole)",Local,29/07/2025,7300,7500,7500
"Tamil Nadu",Dharmapuri,"Pennagaram(Uzhavar Sandhai )",Cabbage,Cabbage,Local,29/07/2025,2700,3000,3000
"Tamil Nadu",Dharmapuri,"Pennagaram(Uzhavar Sandhai )",Capsicum,Capsicum,Local,29/07/2025,6700,7000,7000
"Tamil Nadu",Dharmapuri,"Pennagaram(Uzhavar Sandhai )","Chow Chow","Chow Chow",Local,29/07/2025,3800,4000,4000
"Tamil Nadu",Dharmapuri,"Pennagaram(Uzhavar Sandhai )","Green Avare (W)","Avare (W)",Local,29/07/2025,5300,5500,5500
"Tamil Nadu",Dharmapuri,"Pennagaram(Uzhavar Sandhai )",Groundnut,"Big (With Shell)",Local,29/07/2025,6800,7000,7000
"Tamil Nadu",Dharmapuri,"Pennagaram(Uzhavar Sandhai )",Papaya,Papaya,Local,29/07/2025,2700,3000,3000
